			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
R	2	16	77.07985	0.005	77.07985	0.000	79.07172	0.000	84.02811	0.005	89.01490	89.01490	89.01490	95.14528	89.01490
R	2	17	80.05258	0.005	80.05258	0.000	84.03981	0.000	81.02961	0.000	88.03830	88.03830	88.03830	94.08414	88.03830
R	2	18	76.02562	0.010	65.11652	0.000	65.11652	0.000	71.03993	0.000	76.02928	76.02928	76.02928	86.11792	76.02928
R	2	19	86.13414	0.005	81.11006	0.000	81.11006	0.000	81.06007	0.000	88.12554	88.12554	88.12554	95.11168	88.12554
R	2	20	75.05793	0.005	74.09459	0.005	74.09459	0.000	78.06310	0.000	81.04563	81.04563	81.04563	91.11546	81.04563
C	2	1	65.12454	0.015	65.10439	0.000	65.10439	0.000	65.10439	0.000	70.10204	70.10204	70.10204	70.28738	70.10204
C	2	2	78.10262	0.015	81.10726	0.000	81.10726	0.000	81.10726	0.000	85.03735	85.03735	85.03735	92.14531	85.03735
C	2	3	72.03980	0.000	73.09187	0.000	79.06397	0.000	72.01545	0.000	84.02436	84.02436	84.02436	89.11737	84.02436
C	2	4	101.02401	0.000	99.02063	0.000	99.02063	0.000	105.00644	0.000	107.01833	107.01833	107.01833	113.08077	107.01833
C	2	5	87.09158	0.000	84.10648	0.000	84.09411	0.000	84.09500	0.000	89.08873	89.08873	89.08873	95.13907	89.08873
C	2	6	82.06858	0.000	79.05859	0.000	79.05859	0.005	83.02686	0.000	86.00922	86.00922	86.00922	92.08997	86.00922
C	2	7	89.02550	0.000	86.04540	0.000	86.04540	0.000	86.04300	0.000	92.01530	92.01530	92.01530	98.11235	92.01530
C	2	8	106.05200	0.010	106.05200	0.000	107.03845	0.000	105.03944	0.000	111.02320	111.02320	111.02320	114.08457	111.02320
C	2	9	90.08436	0.000	89.08143	0.000	89.06601	0.000	90.04263	0.000	94.02798	94.02798	94.02798	100.10287	94.02798
C	2	10	90.04475	0.000	93.04073	0.000	93.04073	0.000	92.04495	0.000	94.02914	94.02914	94.02914	102.05640	94.02914
C	2	11	93.03088	0.015	92.06587	0.000	89.09118	0.000	92.06604	0.005	97.01827	97.01827	97.01827	104.04754	97.01827
C	2	12	96.03514	0.000	96.04300	0.000	96.03469	0.000	97.03973	0.000	100.00238	100.00238	100.00238	105.05861	100.00238
C	2	13	101.07002	0.005	103.06138	0.000	99.03402	0.000	96.09016	0.000	106.01964	106.01964	106.01964	113.15441	106.01964
C	2	14	90.07576	0.005	93.07260	0.000	88.06219	0.000	92.08629	0.000	97.03314	97.03314	97.03314	106.11627	97.03314
C	2	15	103.11839	0.005	103.11839	0.005	108.09958	0.000	102.12337	0.000	112.10335	112.10335	112.10335	119.17916	112.10335
C	2	16	100.03367	0.010	102.07847	0.000	96.06187	0.000	98.05051	0.000	112.02168	112.02168	112.02168	118.10782	112.02168
C	2	17	86.06172	0.010	80.09605	0.000	86.06172	0.000	85.02248	0.000	86.06172	86.06172	86.06172	94.12386	86.06172
C	2	18	82.05882	0.010	76.06770	0.000	82.05882	0.000	76.11422	0.000	86.06603	86.06603	86.06603	92.14286	86.06603
C	2	19	42.56951	0.010	42.56951	0.000	43.53721	0.000	42.06161	0.000	45.03070	45.03070	45.03070	47.63856	45.03070
C	2	20	81.12161	0.000	82.12534	0.000	82.12534	0.000	82.13469	0.000	87.07230	87.07230	87.07230	92.15887	87.07230
RC	2	1	63.11717	0.010	63.11717	0.000	63.11717	0.000	72.09541	0.000	73.10423	73.10423	73.10423	73.24243	73.10423
RC	2	2	85.03150	0.010	81.02487	0.000	74.01074	0.000	71.05084	0.000	85.03660	85.03660	85.03660	94.10905	85.03660
RC	2	3	89.10127	0.010	89.10127	0.000	95.06294	0.000	89.10127	0.000	97.10127	97.10127	97.10127	112.13300	97.10127
RC	2	4	88.00583	0.005	98.02940	0.000	98.02940	0.000	98.02940	0.000	100.02125	100.02125	100.02125	106.09337	100.02125
RC	2	5	81.04269	0.000	77.01353	0.000	85.07352	0.000	78.01376	0.000	86.06272	86.06272	86.06272	91.11396	86.06272
